id,X,Y,KEY,NAME
141,297615.9642,2769148.554,2,江子翠站出口2
142,297648.5692,2769122.736,3,江子翠站出口3
143,297714.2477,2769142.888,4,江子翠站出口4
144,297785.2478,2769295.81,5,江子翠站出口5
145,297750.7063,2769322.832,6,江子翠站出口6
146,296366.7876,2781022.298,1,竹圍站出口1
147,296320.8271,2781001.5,2,竹圍站出口2
148,303772.4621,2772325.226,1,行天宮站出口1
149,303819.5284,2772373.439,2,行天宮站出口2
150,303817.1015,2772516.964,3,行天宮站出口3
151,303776.34,2772571.915,4,行天宮站出口4
152,301208.8673,2770542.04,1,西門站出口1
153,301308.0867,2770452.23,2,西門站出口2
154,301352.1637,2770504.927,3,西門站出口3
155,301363.8979,2770550.77,4,西門站出口4
156,301357.0214,2770634.363,5,西門站出口5
157,301222.1566,2770591.243,6,西門站出口6
158,307195.2909,2775039.462,1,西湖站出口1
159,307225.3366,2774971.184,2,西湖站出口2
160,306211.975,2766428.29,0,辛亥站出口
161,295684.0396,2765742.239,1,亞東醫院站出口1
162,295654.6028,2765652.275,2,亞東醫院站出口2
163,295705.0659,2765680.017,3,亞東醫院站出口3
164,300517.5074,2779848.414,0,奇岩站出口
165,296320.3459,2766804.176,1,府中站出口1
166,296367.2824,2766847.689,2,府中站出口2
167,296324.6102,2766875.851,3,府中站出口3
168,304795.5611,2770517.923,1,忠孝復興站出口1
169,304837.4351,2770459.014,2,忠孝復興站出口2
170,305014.8249,2770479.921,3,忠孝復興站出口3
171,305002.3422,2770517.171,4,忠孝復興站出口4
172,304893.8078,2770544.159,5,忠孝復興站出口5
173,305596.5451,2770505.98,1,忠孝敦化站出口1
174,305621.9388,2770505.979,2,忠孝敦化站出口2
175,305624.271,2770462.928,3,忠孝敦化站出口3
176,305593.7332,2770463.19,4,忠孝敦化站出口4
177,305483.2941,2770459.989,5,忠孝敦化站出口5
178,305417.8208,2770436.537,6,忠孝敦化站出口6
179,305481.5058,2770513.622,7,忠孝敦化站出口7
180,305416.5317,2770544.727,8,忠孝敦化站出口8
181,303647.6617,2770636.792,1,忠孝新生站出口1
182,303683.2855,2770540.321,2,忠孝新生站出口2
183,303848.5702,2770486.061,3,忠孝新生站出口3
184,303799.1709,2770598.427,4,忠孝新生站出口4
185,303741.7308,2770423.727,5,忠孝新生站出口5
