lat,lng
25.0571627,121.5158208
25.0571439,121.514539
25.0579309,121.515496
25.0585099,121.517667
25.059864,121.515706
25.091075,121.5598345
25.057398,121.517656
25.057848,121.516866
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.0705487,121.5138558
25.0705487,121.5138558
25.091075,121.5598345
25.05962,121.51752
25.059713,121.515934
25.059713,121.515934
25.058632,121.515172
25.059192,121.517989
25.091075,121.5598345
25.059347,121.517568
25.091075,121.5598345
25.0593179,121.519894
25.091075,121.5598345
25.0586159,121.520012
25.0586159,121.520012
25.0591,121.518502
25.026445,121.518462
25.091075,121.5598345
25.057922,121.519044
25.091075,121.5598345
25.0594449,121.520081
25.0587459,121.518492
25.019847,121.46258
25.059512,121.520374
25.059512,121.520374
25.091075,121.5598345
25.058915,121.520141
25.091075,121.5598345
25.091075,121.5598345
25.058227,121.518416
25.058227,121.518416
25.059609,121.51583
25.091075,121.5598345
25.091075,121.5598345
25.026673,121.5179511
25.026673,121.5179511
25.0593669,121.514166
25.0607789,121.514479
25.062244,121.516804
23.4823007,120.4499684
25.0269909,121.5166605
25.0610789,121.5157
25.091075,121.5598345
25.091075,121.5598345
25.026467,121.509757
25.062689,121.514583
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.062281,121.517536
25.061729,121.51426
25.091075,121.5598345
25.091075,121.5598345
25.0270316,121.5108817
25.060452,121.515762
25.0621399,121.515746
25.091075,121.5598345
25.091075,121.5598345
25.0685667,121.5183117
25.062493,121.518917
25.062493,121.518917
25.091075,121.5598345
25.0615838,121.5177166
25.091075,121.5598345
25.060672,121.513718
25.061692,121.513733
25.0624719,121.518589
25.091075,121.5598345
25.091075,121.5598345
25.06273,121.516486
25.091075,121.5598345
25.0641679,121.517014
25.065886,121.514204
25.091075,121.5598345
25.065767,121.519101
25.065767,121.519101
25.091075,121.5598345
25.091075,121.5598345
25.065003,121.515959
25.063138,121.516769
25.0640799,121.518844
25.0640799,121.518844
25.0636189,121.517428
25.091075,121.5598345
25.063643,121.5160729
25.0726996,121.5372392
25.091075,121.5598345
25.064215,121.51591
25.064215,121.51591
25.0641469,121.518063
25.063065,121.519448
25.0683073,121.5185944
25.065716,121.515626
25.064509,121.515258
25.065802,121.515044
25.091075,121.5598345
25.091075,121.5598345
25.063448,121.517129
25.091075,121.5598345
25.0705259,121.516837
25.091075,121.5598345
25.063534,121.518509
25.0657932,121.5158542
25.0654733,121.5104029
25.0712684,121.5159228
25.065754,121.5181
25.0727164,121.5190283
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.091075,121.5598345
25.0694739,121.511297
25.069718,121.509505
25.091075,121.5598345
25.0693879,121.509395
25.071378,121.513351
25.071773,121.510768
25.06999,121.509756
25.091075,121.5598345
25.0715723,121.509219
25.0702118,121.5098455
25.091075,121.5598345
25.0698759,121.511432
25.091075,121.5598345
25.0706206,121.5108578
25.070001,121.509429
25.091075,121.5598345
25.0705729,121.5127593
25.0707119,121.5092827
25.072035,121.513088
25.071816,121.512215
25.0688659,121.51076
25.0719179,121.5139899
25.091075,121.5598345
25.0694249,121.511262
25.071507,121.511923
25.068305,121.512336
25.091075,121.5598345
25.091075,121.5598345
25.06878,121.513252
25.068877,121.513506
25.068175,121.511012
25.068533,121.512018
25.065153,121.483539
25.0685098,121.5213838
25.0595287,121.4909535
25.0705487,121.5138558
25.067312,121.513016
25.073442,121.513588
25.06822,121.513292
25.0679296,121.5113158
